wl,n,wl,k
1.91224,4.06144,1.91224,0.00001
1.92164,4.05768,1.92164,0.00001
1.93103,4.05391,1.93103,0.00001
1.94042,4.05015,1.94042,0
1.94981,4.04669,1.94981,0
1.95921,4.04353,1.95921,0
1.9686,4.04037,1.9686,0
1.97799,4.03722,1.97799,0
1.98739,4.03876,1.98739,0
1.99678,4.04333,1.99678,0
2.00617,4.0479,2.00617,0
2.01556,4.05247,2.01556,0
2.02496,4.05287,2.02496,0
2.03435,4.05025,2.03435,0
2.04374,4.04763,2.04374,0
2.05313,4.04502,2.05313,0
2.06253,4.04299,2.06253,0
2.07192,4.04188,2.07192,0
2.08131,4.04077,2.08131,0
2.09071,4.03967,2.09071,0
2.1,4.0507,2.1,0
2.1001,4.03857,2.1001,0
2.12,4.04891,2.12,0
2.14,4.04717,2.14,0
2.16,4.04548,2.16,0
2.18,4.04383,2.18,0
2.2,4.04224,2.2,0
2.22,4.04068,2.22,0
2.24,4.03916,2.24,0
2.26,4.03769,2.26,0
2.28,4.03625,2.28,0
2.3,4.03485,2.3,0
2.32,4.03349,2.32,0
2.34,4.03216,2.34,0
2.36,4.03087,2.36,0
2.38,4.02961,2.38,0
2.4,4.02838,2.4,0
2.42,4.02718,2.42,0
2.44,4.02601,2.44,0
2.46,4.02486,2.46,0
2.48,4.02375,2.48,0
2.5,4.02266,2.5,0
2.52,4.0216,2.52,0
2.54,4.02056,2.54,0
2.56,4.01955,2.56,0
2.58,4.01856,2.58,0
2.6,4.01759,2.6,0
2.62,4.01665,2.62,0
2.64,4.01572,2.64,0
2.66,4.01482,2.66,0
2.68,4.01394,2.68,0
2.7,4.01307,2.7,0
2.72,4.01223,2.72,0
2.74,4.0114,2.74,0
2.76,4.0106,2.76,0
2.78,4.00981,2.78,0
2.8,4.00903,2.8,0
2.82,4.00828,2.82,0
2.84,4.00753,2.84,0
2.86,4.00681,2.86,0
2.88,4.0061,2.88,0
2.9,4.0054,2.9,0
2.92,4.00472,2.92,0
2.94,4.00405,2.94,0
2.96,4.0034,2.96,0
2.98,4.00276,2.98,0
3,4.00213,3,0
3.02,4.00151,3.02,0
3.04,4.00091,3.04,0
3.06,4.00032,3.06,0
3.08,3.99974,3.08,0
3.1,3.99917,3.1,0
3.12,3.99861,3.12,0
3.14,3.99806,3.14,0
3.16,3.99752,3.16,0
3.18,3.997,3.18,0
3.2,3.99648,3.2,0
3.22,3.99597,3.22,0
3.24,3.99547,3.24,0
3.26,3.99498,3.26,0
3.28,3.9945,3.28,0
3.3,3.99403,3.3,0
3.32,3.99357,3.32,0
3.34,3.99311,3.34,0
3.36,3.99267,3.36,0
3.38,3.99223,3.38,0
3.4,3.9918,3.4,0
3.42,3.99137,3.42,0
3.44,3.99096,3.44,0
3.46,3.99055,3.46,0
3.48,3.99014,3.48,0
3.5,3.98975,3.5,0
3.52,3.98936,3.52,0
3.54,3.98898,3.54,0
3.56,3.9886,3.56,0
3.58,3.98823,3.58,0
3.6,3.98787,3.6,0
3.62,3.98751,3.62,0
3.64,3.98716,3.64,0
