wl,n,wl,k
0.46254,2.547001,0.46254,1.119518
0.46413,2.544899,0.46413,1.111388
0.46571,2.542287,0.46571,1.10318
0.4673,2.539172,0.4673,1.094948
0.46889,2.535563,0.46889,1.086744
0.47047,2.531476,0.47047,1.078608
0.47206,2.526933,0.47206,1.070581
0.47365,2.521955,0.47365,1.062693
0.47523,2.516564,0.47523,1.054973
0.47682,2.510785,0.47682,1.047443
0.47841,2.504643,0.47841,1.040122
0.47999,2.498162,0.47999,1.033025
0.48158,2.491364,0.48158,1.026165
0.48316,2.484272,0.48316,1.019551
0.48475,2.476908,0.48475,1.013189
0.48634,2.469292,0.48634,1.007087
0.48792,2.461443,0.48792,1.001245
0.48951,2.45338,0.48951,0.995667
0.4911,2.44512,0.4911,0.990354
0.49268,2.436677,0.49268,0.985304
0.49427,2.428068,0.49427,0.980517
0.49585,2.419305,0.49585,0.975991
0.49744,2.410402,0.49744,0.971723
0.49903,2.40137,0.49903,0.967712
0.50061,2.39222,0.50061,0.963953
0.5022,2.382962,0.5022,0.960443
0.50379,2.373606,0.50379,0.957179
0.50537,2.364159,0.50537,0.954157
0.50696,2.354631,0.50696,0.951373
0.50854,2.345028,0.50854,0.948823
0.51013,2.335357,0.51013,0.946505
0.51172,2.325624,0.51172,0.944412
0.5133,2.315836,0.5133,0.942543
0.51489,2.305997,0.51489,0.940894
0.51647,2.296113,0.51647,0.93946
0.51806,2.286188,0.51806,0.938238
0.51965,2.276226,0.51965,0.937226
0.52123,2.266232,0.52123,0.936418
0.52282,2.256209,0.52282,0.935813
0.5244,2.246161,0.5244,0.935408
0.52599,2.236091,0.52599,0.935198
0.52758,2.226001,0.52758,0.935182
0.52916,2.215896,0.52916,0.935357
0.53075,2.205777,0.53075,0.93572
0.53233,2.195647,0.53233,0.936268
0.53392,2.185509,0.53392,0.937
0.53551,2.175365,0.53551,0.937913
0.53709,2.165216,0.53709,0.939004
0.53868,2.155067,0.53868,0.940272
0.54026,2.144917,0.54026,0.941715
0.54185,2.13477,0.54185,0.943331
0.54344,2.124627,0.54344,0.945118
0.54502,2.114489,0.54502,0.947074
0.54661,2.10436,0.54661,0.949197
0.54819,2.094241,0.54819,0.951487
0.54978,2.084132,0.54978,0.953941
0.55136,2.074037,0.55136,0.956559
0.55295,2.063956,0.55295,0.959338
0.55454,2.053892,0.55454,0.962278
0.55612,2.043846,0.55612,0.965378
0.55771,2.03382,0.55771,0.968635
0.55929,2.023815,0.55929,0.972049
0.56088,2.013833,0.56088,0.975619
0.56246,2.003876,0.56246,0.979343
0.56405,1.993946,0.56405,0.983221
0.56563,1.984043,0.56563,0.987252
0.56722,1.974171,0.56722,0.991434
0.56881,1.96433,0.56881,0.995767
0.57039,1.954522,0.57039,1.00025
0.57198,1.944749,0.57198,1.004881
0.57356,1.935012,0.57356,1.00966
0.57515,1.925314,0.57515,1.014585
0.57673,1.915656,0.57673,1.019657
0.57832,1.906041,0.57832,1.024873
0.5799,1.896469,0.5799,1.030233
0.58149,1.886943,0.58149,1.035735
0.58307,1.877464,0.58307,1.04138
0.58466,1.868034,0.58466,1.047166
0.58624,1.858656,0.58624,1.053091
0.58783,1.849331,0.58783,1.059155
0.58941,1.840061,0.58941,1.065356
0.591,1.830847,0.591,1.071694
0.59258,1.821693,0.59258,1.078167
0.59417,1.812599,0.59417,1.084775
0.59575,1.803568,0.59575,1.091515
0.59734,1.794601,0.59734,1.098387
0.59892,1.785701,0.59892,1.105389
0.60051,1.776869,0.60051,1.11252
0.60209,1.768108,0.60209,1.119779
0.60368,1.759419,0.60368,1.127163
0.60526,1.750803,0.60526,1.134672
0.60685,1.742264,0.60685,1.142305
0.60843,1.733803,0.60843,1.150058
0.61001,1.725421,0.61001,1.157931
0.6116,1.717121,0.6116,1.165922
0.61318,1.708904,0.61318,1.174029
0.61477,1.700772,0.61477,1.18225
0.61635,1.692727,0.61635,1.190584
0.61794,1.68477,0.61794,1.199029
0.61952,1.676903,0.61952,1.207582
0.6211,1.669128,0.6211,1.216241
0.62269,1.661446,0.62269,1.225006
0.62427,1.653859,0.62427,1.233872
0.62586,1.646368,0.62586,1.242839
0.62744,1.638974,0.62744,1.251904
0.62902,1.631679,0.62902,1.261065
0.63061,1.624485,0.63061,1.270319
0.63219,1.617391,0.63219,1.279664
0.63378,1.610401,0.63378,1.289099
0.63536,1.603513,0.63536,1.29862
0.63694,1.59673,0.63694,1.308225
0.63853,1.590053,0.63853,1.317912
0.64011,1.583483,0.64011,1.327678
0.64169,1.577019,0.64169,1.337521
0.64328,1.570663,0.64328,1.347438
0.64486,1.564416,0.64486,1.357427
0.64644,1.558279,0.64644,1.367486
0.64803,1.552251,0.64803,1.377611
0.64961,1.546333,0.64961,1.387802
0.65119,1.540525,0.65119,1.398053
0.65278,1.534828,0.65278,1.408365
0.65436,1.529243,0.65436,1.418734
0.65594,1.523768,0.65594,1.429157
0.65752,1.518405,0.65752,1.439632
0.65911,1.513153,0.65911,1.450157
0.66069,1.508013,0.66069,1.46073
0.66227,1.502983,0.66227,1.471347
0.66386,1.498064,0.66386,1.482007
0.66544,1.493256,0.66544,1.492707
0.66702,1.488559,0.66702,1.503446
0.6686,1.483971,0.6686,1.51422
0.67019,1.479493,0.67019,1.525028
0.67177,1.475124,0.67177,1.535867
0.67335,1.470864,0.67335,1.546735
0.67493,1.466712,0.67493,1.557631
0.67652,1.462667,0.67652,1.568551
0.6781,1.458729,0.6781,1.579495
0.67968,1.454897,0.67968,1.590459
0.68126,1.45117,0.68126,1.601443
0.68284,1.447548,0.68284,1.612444
0.68442,1.444029,0.68442,1.623461
0.68601,1.440613,0.68601,1.634491
0.68759,1.437299,0.68759,1.645533
0.68917,1.434086,0.68917,1.656585
0.69075,1.430973,0.69075,1.667647
0.69233,1.427959,0.69233,1.678714
0.69391,1.425044,0.69391,1.689787
0.6955,1.422225,0.6955,1.700865
0.69708,1.419503,0.69708,1.711944
0.69866,1.416875,0.69866,1.723025
0.70024,1.414341,0.70024,1.734105
0.70182,1.411901,0.70182,1.745184
0.7034,1.409552,0.7034,1.75626
0.70498,1.407294,0.70498,1.767331
0.70656,1.405125,0.70656,1.778397
0.70814,1.403045,0.70814,1.789457
0.70972,1.401052,0.70972,1.800509
0.71131,1.399146,0.71131,1.811553
0.71289,1.397324,0.71289,1.822586
0.71447,1.395587,0.71447,1.83361
0.71605,1.393932,0.71605,1.844621
0.71763,1.39236,0.71763,1.85562
0.71921,1.390868,0.71921,1.866606
0.72079,1.389456,0.72079,1.877577
0.72237,1.388122,0.72237,1.888534
0.72395,1.386865,0.72395,1.899475
0.72553,1.385685,0.72553,1.910399
0.72711,1.38458,0.72711,1.921306
0.72869,1.383549,0.72869,1.932196
0.73027,1.382591,0.73027,1.943067
0.73185,1.381705,0.73185,1.953919
0.73343,1.38089,0.73343,1.964751
0.73501,1.380145,0.73501,1.975563
0.73658,1.379469,0.73658,1.986355
0.73816,1.37886,0.73816,1.997125
0.73974,1.378318,0.73974,2.007874
0.74132,1.377842,0.74132,2.018601
0.7429,1.377431,0.7429,2.029305
0.74448,1.377084,0.74448,2.039986
0.74606,1.376799,0.74606,2.050644
0.74764,1.376576,0.74764,2.061279
0.74922,1.376415,0.74922,2.07189
0.75079,1.376313,0.75079,2.082476
0.75237,1.37627,0.75237,2.093038
0.75395,1.376286,0.75395,2.103575
0.75553,1.376359,0.75553,2.114088
0.75711,1.376488,0.75711,2.124574
0.75869,1.376673,0.75869,2.135036
0.76026,1.376912,0.76026,2.145472
0.76184,1.377206,0.76184,2.155882
0.76342,1.377552,0.76342,2.166265
0.765,1.37795,0.765,2.176623
0.76658,1.3784,0.76658,2.186954
0.76815,1.378901,0.76815,2.197259
0.76973,1.379451,0.76973,2.207537
0.77131,1.380051,0.77131,2.217788
0.77289,1.380699,0.77289,2.228013
0.77446,1.381394,0.77446,2.238211
0.77604,1.382136,0.77604,2.248381
0.77762,1.382924,0.77762,2.258525
0.77919,1.383758,0.77919,2.268641
0.78077,1.384636,0.78077,2.278731
0.78235,1.385558,0.78235,2.288792
0.78392,1.386524,0.78392,2.298827
0.7855,1.387532,0.7855,2.308835
0.78708,1.388583,0.78708,2.318815
0.78865,1.389675,0.78865,2.328768
0.79023,1.390807,0.79023,2.338693
0.7918,1.39198,0.7918,2.348591
0.79338,1.393193,0.79338,2.358462
0.79496,1.394444,0.79496,2.368306
0.79653,1.395734,0.79653,2.378122
0.79811,1.397061,0.79811,2.387911
0.79968,1.398426,0.79968,2.397673
0.80126,1.399827,0.80126,2.407407
0.80283,1.401265,0.80283,2.417114
0.80441,1.402738,0.80441,2.426795
0.80598,1.404246,0.80598,2.436448
0.80756,1.405789,0.80756,2.446074
0.80913,1.407366,0.80913,2.455673
0.81071,1.408976,0.81071,2.465245
0.81228,1.410619,0.81228,2.474791
0.81386,1.412295,0.81386,2.48431
0.81543,1.414003,0.81543,2.493801
0.81701,1.415743,0.81701,2.503267
0.81858,1.417514,0.81858,2.512705
0.82016,1.419315,0.82016,2.522117
0.82173,1.421147,0.82173,2.531503
0.8233,1.423009,0.8233,2.540862
0.82488,1.4249,0.82488,2.550196
0.82645,1.42682,0.82645,2.559503
0.82803,1.428769,0.82803,2.568783
0.8296,1.430746,0.8296,2.578038
0.83117,1.43275,0.83117,2.587267
0.83275,1.434782,0.83275,2.59647
0.83432,1.436841,0.83432,2.605647
0.83589,1.438927,0.83589,2.614799
0.83746,1.441039,0.83746,2.623925
0.83904,1.443177,0.83904,2.633026
0.84061,1.44534,0.84061,2.642101
0.84218,1.447529,0.84218,2.651151
0.84375,1.449742,0.84375,2.660176
0.84533,1.45198,0.84533,2.669177
0.8469,1.454242,0.8469,2.678151
0.84847,1.456528,0.84847,2.687101
0.85004,1.458837,0.85004,2.696027
0.85162,1.46117,0.85162,2.704927
0.85319,1.463525,0.85319,2.713803
0.85476,1.465903,0.85476,2.722655
0.85633,1.468303,0.85633,2.731482
0.8579,1.470726,0.8579,2.740285
0.85947,1.473169,0.85947,2.749065
0.86104,1.475635,0.86104,2.75782
0.86261,1.478121,0.86261,2.76655
0.86419,1.480628,0.86419,2.775257
0.86576,1.483155,0.86576,2.78394
0.86733,1.485704,0.86733,2.7926
0.8689,1.488271,0.8689,2.801237
0.87047,1.490859,0.87047,2.80985
0.87204,1.493466,0.87204,2.818439
0.87361,1.496093,0.87361,2.827006
0.87518,1.498738,0.87518,2.835549
0.87675,1.501402,0.87675,2.844069
0.87832,1.504085,0.87832,2.852566
0.87989,1.506786,0.87989,2.861041
0.88146,1.509505,0.88146,2.869493
0.88303,1.512241,0.88303,2.877922
0.8846,1.514995,0.8846,2.886329
0.88616,1.517767,0.88616,2.894714
0.88773,1.520556,0.88773,2.903075
0.8893,1.523361,0.8893,2.911416
0.89087,1.526184,0.89087,2.919734
0.89244,1.529023,0.89244,2.92803
0.89401,1.531878,0.89401,2.936304
0.89558,1.534749,0.89558,2.944556
0.89714,1.537636,0.89714,2.952787
0.89871,1.540539,0.89871,2.960996
0.90028,1.543457,0.90028,2.969184
0.90185,1.546391,0.90185,2.97735
0.90342,1.54934,0.90342,2.985495
0.90498,1.552303,0.90498,2.993619
0.90655,1.555282,0.90655,3.001721
0.90812,1.558275,0.90812,3.009803
0.90968,1.561282,0.90968,3.017864
0.91125,1.564303,0.91125,3.025904
0.91282,1.567339,0.91282,3.033923
0.91438,1.570388,0.91438,3.041922
0.91595,1.573452,0.91595,3.049901
0.91752,1.576529,0.91752,3.057859
0.91908,1.579619,0.91908,3.065796
0.92065,1.582722,0.92065,3.073714
0.92222,1.585838,0.92222,3.081611
0.92378,1.588968,0.92378,3.089488
0.92535,1.59211,0.92535,3.097346
0.92691,1.595264,0.92691,3.105183
0.92848,1.598432,0.92848,3.113001
0.93004,1.601611,0.93004,3.120799
0.93161,1.604803,0.93161,3.128577
0.93317,1.608006,0.93317,3.136336
0.93474,1.611222,0.93474,3.144076
0.9363,1.614449,0.9363,3.151796
0.93787,1.617688,0.93787,3.159497
0.93943,1.620939,0.93943,3.167179
0.94099,1.6242,0.94099,3.174842
0.94256,1.627473,0.94256,3.182486
0.94412,1.630757,0.94412,3.190111
0.94569,1.634052,0.94569,3.197717
0.94725,1.637358,0.94725,3.205304
0.94881,1.640674,0.94881,3.212873
0.95038,1.644002,0.95038,3.220424
0.95194,1.647339,0.95194,3.227956
0.9535,1.650687,0.9535,3.235469
0.95506,1.654045,0.95506,3.242964
0.95663,1.657413,0.95663,3.250441
0.95819,1.660792,0.95819,3.2579
0.95975,1.66418,0.95975,3.265341
0.96131,1.667578,0.96131,3.272764
0.96288,1.670985,0.96288,3.280168
0.96444,1.674402,0.96444,3.287555
0.966,1.677829,0.966,3.294925
0.96756,1.681264,0.96756,3.302276
0.96912,1.68471,0.96912,3.30961
0.97068,1.688164,0.97068,3.316927
0.97225,1.691627,0.97225,3.324226
0.97381,1.695099,0.97381,3.331508
0.97537,1.69858,0.97537,3.338772
0.97693,1.70207,0.97693,3.34602
0.97849,1.705568,0.97849,3.353249
0.98005,1.709075,0.98005,3.360463
0.98161,1.712591,0.98161,3.367659
0.98317,1.716114,0.98317,3.374838
0.98473,1.719646,0.98473,3.382
0.98629,1.723186,0.98629,3.389145
0.98785,1.726735,0.98785,3.396274
0.98941,1.730291,0.98941,3.403387
0.99097,1.733855,0.99097,3.410482
0.99252,1.737427,0.99252,3.417561
0.99408,1.741006,0.99408,3.424624
0.99564,1.744594,0.99564,3.431671
0.9972,1.748189,0.9972,3.4387
0.99876,1.751791,0.99876,3.445714
1.01269,1.784331,1.01269,3.507738
1.01608,1.79233,1.01608,3.522636
1.01946,1.800363,1.01946,3.537467
1.02285,1.808429,1.02285,3.55223
1.02624,1.816528,1.02624,3.566927
1.02963,1.824659,1.02963,3.581558
1.03302,1.832822,1.03302,3.596124
1.0364,1.841016,1.0364,3.610626
1.03979,1.849239,1.03979,3.625063
1.04319,1.857492,1.04319,3.639437
1.04658,1.865775,1.04658,3.653748
1.04997,1.874085,1.04997,3.667996
1.05336,1.882424,1.05336,3.682182
1.05675,1.89079,1.05675,3.696307
1.06014,1.899183,1.06014,3.71037
1.06354,1.907603,1.06354,3.724373
1.06693,1.916048,1.06693,3.738316
1.07033,1.924519,1.07033,3.7522
1.07372,1.933014,1.07372,3.766024
1.07711,1.941534,1.07711,3.77979
1.08051,1.950078,1.08051,3.793497
1.08391,1.958646,1.08391,3.807147
1.0873,1.967236,1.0873,3.820739
