wl,n,wl,k
0.73863,4.69103,0.73863,4.57889
0.74712,4.71775,0.74712,4.57378
0.75581,4.74436,0.75581,4.56825
0.7647,4.77094,0.7647,4.56365
0.77381,4.79674,0.77381,4.5601
0.78313,4.8233,0.78313,4.55562
0.79268,4.85057,0.79268,4.55145
0.80247,4.87703,0.80247,4.54884
0.8125,4.90233,0.8125,4.54842
0.82278,4.92666,0.82278,4.54666
0.83333,4.95278,0.83333,4.54494
0.84415,4.98097,0.84415,4.54148
0.85526,5.00956,0.85526,4.53981
0.86666,5.03839,0.86666,4.5399
0.87838,5.06647,0.87838,4.53872
0.89041,5.09419,0.89041,4.53755
0.90278,5.12082,0.90278,4.53634
0.91549,5.14613,0.91549,4.53727
0.92857,5.17198,0.92857,4.53601
0.94203,5.19832,0.94203,4.53422
0.95588,5.22374,0.95588,4.53314
0.97015,5.24759,0.97015,4.53155
0.98485,5.27023,0.98485,4.52993
1,5.28949,1,4.52584
1.0156,5.30772,1.0156,4.52294
1.0317,5.32534,1.0317,4.52079
1.0484,5.34202,1.0484,4.52067
1.0656,5.35926,1.0656,4.52242
1.0833,5.37371,1.0833,4.52527
1.1017,5.38424,1.1017,4.53026
1.1207,5.39443,1.1207,4.53723
1.1403,5.40168,1.1403,4.54668
1.1607,5.40661,1.1607,4.56031
1.1818,5.4104,1.1818,4.5774
1.2037,5.41203,1.2037,4.60007
1.2264,5.41167,1.2264,4.62635
1.25,5.41106,1.25,4.65852
1.2745,5.41033,1.2745,4.69679
1.3,5.40939,1.3,4.73932
1.3265,5.41234,1.3265,4.79165
1.3542,5.41704,1.3542,4.85184
1.383,5.42448,1.383,4.91672
1.413,5.43554,1.413,4.98544
1.4444,5.44922,1.4444,5.05794
1.4773,5.46668,1.4773,5.13881
1.5116,5.48887,1.5116,5.23051
1.5476,5.51713,1.5476,5.33049
1.5854,5.55012,1.5854,5.43306
1.625,5.59183,1.625,5.53614
1.6667,5.6403,1.6667,5.64158
1.7105,5.69454,1.7105,5.75041
1.7568,5.75574,1.7568,5.87018
1.8056,5.8269,1.8056,6.00278
1.8571,5.90851,1.8571,6.13956
1.9118,5.99905,1.9118,6.27288
1.9697,6.10122,1.9697,6.40218
2.0312,6.21348,2.0312,6.52507
2.0968,6.33518,2.0968,6.65796
2.1667,6.47363,2.1667,6.78759
2.2414,6.61384,2.2414,6.92155
2.3214,6.75104,2.3214,7.04753
2.4074,6.87467,2.4074,7.15611
2.5,6.96945,2.5,7.23395
