wl,n,wl,k
0.73,2.16,0.73,6.35
0.8,2.38,0.8,6.68
0.9,2.94,0.9,7.28
1,3.46,1,7.4
1.1,3.68,1.1,7.5
1.15,3.75,1.15,7.58
1.2,3.74,1.2,7.68
1.3,3.65,1.3,7.92
1.4,3.46,1.4,8.26
1.5,3.29,1.5,8.72
1.7,3.12,1.7,9.92
2,3.09,2,11.8
2.5,3.62,2.5,14.8
3,4.4,3,17.8
4,6.18,4,23.2
5,8.49,5,28.5
6,11,6,33.1
7,13.8,7,37.1
8,16.6,8,40.6
9,19.3,9,43.8
10,22,10,46.4
11,24.8,11,49
12,27.8,12,51.6
